AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX
16.231,1009.2,74.131,3.5707,27.93,1089.6,549.9,140.83,12.408,63.314
25.19,1014.9,57.062,2.7637,26.226,1049.8,550.15,107.83,10.378,49.089
11.783,1014,83.578,2.7396,18.702,1044.4,548.89,108.38,10.334,72.807
8.2863,1005,90.17,2.5111,18.935,1042.3,548.79,108.58,10.281,74.796
33.583,1009.8,36.924,4.4289,30.389,1100,544.07,148.53,13.22,56.677
16.124,1010.2,81.329,2.7427,19.363,1048.4,549.97,109.77,10.38,56.194
14.392,1019.3,64.17,3.3129,26.145,1083.2,550.06,135.64,12.06,61.394
9.4638,1021.2,77.091,4.2298,34.149,1099.9,534.65,160.17,13.898,53.84
22.873,1010.2,50.383,3.1485,22.136,1063.7,550,119.39,11.053,54.302
20.781,1012.3,80.212,3.7924,24.462,1078.9,549.78,130.22,11.849,51.889
27.756,1007.7,56.118,4.0007,25.041,1080.8,550.04,129.97,11.985,54.533
25.485,1013.8,74.664,3.9969,25.134,1082.8,549.89,131.73,11.985,51.343
27.522,1013.5,56.926,2.7898,18.709,1043.3,549.82,103.64,10.255,47.535
26.971,1015.1,52.676,3.8619,25.182,1082.8,550.07,130.45,11.985,54.283
16.687,999.27,83.635,3.5302,23.95,1076,550.42,130.35,11.632,52.607
11.976,1005.1,83.68,3.4832,28.559,1082.4,550.01,136.23,11.971,67.573
20.536,1010.5,43.745,3.7132,26.779,1091.8,550.21,140.31,12.552,62.417
25.972,1015.1,54.643,4.0659,25.584,1083.4,548.48,132.45,12.12,56.466
21.058,1017.1,78.395,3.7627,24.105,1077.7,549.82,128.95,11.814,51.834
4.7199,1016,85.487,3.1142,24.435,1073.1,549.77,130.69,11.599,75
25.121,1008.9,66.389,4.3374,30.133,1100,544.82,148.77,13.24,55.935
3.1962,1023.6,73.718,2.933,21.713,1065.4,550.37,124.6,11.193,82.446
12.293,1015.6,47.136,3.3821,29.138,1081.2,550.49,134.82,11.897,69.37
18.867,1012.6,91.931,3.6359,22.122,1064.5,549.94,120.36,11.201,46.075
18.893,1012.7,79.153,3.1493,22.645,1068,549.79,123.19,11.392,56.964
15.337,1028.7,62.987,3.2573,23.143,1075.1,549.6,128.28,11.649,57.446
17.274,1008.6,75.9,2.7119,19.557,1049.5,549.94,110.35,10.386,56.686
8.8623,1021.7,72.161,3.3762,25.513,1084,549.99,137.65,12.196,68.971
14.247,1014.7,76.676,3.2361,23.798,1077,550.24,130.82,11.693,51.391
12.496,1024.4,38.738,4.2748,32.911,1099.8,535.26,157.6,13.865,59.772
24.293,1008.7,83.213,4.3851,30.341,1099.8,543.84,148.59,13.232,54.535
22.553,1011.2,51.683,3.6948,26.925,1091.4,550.36,139.3,12.372,58.002
14.484,1006.7,78.501,4.5791,34.508,1100.1,531.18,159.98,14.134,49.429
18.88,1002.8,65.674,3.031,21.249,1059.5,549.86,117.44,10.995,51.941
6.5605,1009.4,83.138,3.0732,23.342,1073.8,549.75,131.31,11.53,72.79
16.945,1007,82.642,3.2933,24.045,1076.5,549.95,130.19,11.797,52.357
